発話者2,応答者2,対話行為,対話行為2,感情
そんなんだって。,別にためてんの、あんた。,質問(YesNo),質問(YesNo),驚き
１日券とかでしょう。,え、だってスキー、今年の冬は最後だからさあ、いっぱい行くんでしょう、スキー。,質問(YesNo),質問(YesNo),驚き
知り合いが、事故して運ばれてね、車はもう直しようがなくなってたらしい。今、。バイクしか持ってねえって、ほんともう。,あー、ねえねえねえ、Ｋは？Ｋ今、働いてんの？,質問(YesNo),質問(YesNo),驚き
学割あるよ。,あるの、まだ。,質問(YesNo),質問(YesNo),驚き
うん、だって昼だったら２５分ぐらい。３０分ちょい切るぐらい。こっちから極楽の方へ、あっ、こっちか。あっち行って、平針通って、で。,まっすぐ抜けて、神の倉まで行っちゃうの？,質問(YesNo),質問(YesNo),驚き
私、授業８コマは入っているんだよ、もう十分だと思わない？知らないうちに増えたの、１個。,なんで。,質問(YesNo),質問(What),驚き
日本語教育の求人は、民間のなんかは東京がほとんどなんだけど、あと、海外とかが結構出てて、見てるんだね。で、民間の普通の日本語学校なんかは、それこそすごい時給じゃん。,二千いくらの世界だよね。,質問(YesNo),質問(YesNo),驚き
Ｈ大学とかも、教育実習があるけど、学校のクラスを１クラスとかでやってるんだって。それを。,Ｎ子さんってまだ広島にいるの。,質問(YesNo),質問(YesNo),驚き
足そんなにまだ冷えてないじゃん、なんか。,うん。まだ食べ終わったばかりだからじゃない。,質問(YesNo),あいづち,驚き
前さ、この猫、お尻のなんかさ、におい袋とかが破裂したかなんかでさ、１回変なにおいになったことあったじゃん。,お尻の、その、肛門のまわりだった？,質問(YesNo),質問(YesNo),驚き
この猫からするにおい肛門袋がやぶれたにおいかしら、これ。,ね、今、発情期かなんかの時期なんじゃないの。,質問(YesNo),質問(YesNo),驚き
血を出してたってのがどうも怪しいね、なんか、この猫ね。,うん。うん。,質問(YesNo),あいづち,驚き
ハードディスクから音がしてるね、あれ。,ふーん。わたしのコンピュータもジーっていうの、あれハードディスク？,質問(YesNo),あいづち,驚き
かな？,それで１６日が月曜日になるのかな？,質問(YesNo),質問(YesNo),驚き
今だれが一番下のクラス教えてるの？,一番下？,質問(YesNo),質問(YesNo),驚き
そうね、あとはあれがあったでしょ。なんだっけ、筑波のやつかなんか使ってたでしょう。,ＳＦＪ？,質問(YesNo),質問(YesNo),驚き
知らないけど、なんかそう言ってたじゃん。だから、ぼ、僕が入って変わったでしょ。,だっけね。,質問(YesNo),質問(YesNo),驚き
今の上司から、週５日来いみたいなことを言ってたんだっけ？,って感じだったでしょう。,質問(YesNo),質問(YesNo),驚き
学校の遠足で、電車を使ったから、引率の僕は立ってたのよ。,席があったけど？,質問(YesNo),質問(YesNo),驚き
うん、違う。トマト。,ベーコンとキノコのトマトソース。で、飲み物も選ぶんですよね。,質問(YesNo),自己開示,驚き
何げにって言っちゃ。,だめ？,質問(YesNo),質問(YesNo),驚き
Ｃちゃん、なんか風邪ひいていたんでしょう。,ああ、なんか私にもメール来た、そういえば。私も風邪ひいてたから、うがいしといた。,質問(YesNo),応答(平叙),驚き
で、気づいたら、あれっ、Ｃちゃんからメールが来てないと思って、なんだろうこれはと思って。,メールがきてない？,質問(YesNo),質問(YesNo),驚き
包丁。,こうやってにぎりずし？,質問(YesNo),質問(YesNo),驚き
カリフォルニアロール以外にも外国の巻きずし、なんかあるね。,フロリダ巻き？,質問(YesNo),質問(YesNo),驚き
前、前いっぺん来たんだよ、うちに車で。,はいはいはいはい。遠かった？,質問(YesNo),あいづち,驚き
ばっちり。,新可児駅？,質問(YesNo),質問(YesNo),驚き
海鮮なべってどういう、何入ってるんだろう。魚。,魚なんて入れるの？,質問(YesNo),質問(YesNo),驚き
あっ、そうそう、雑誌でもお鍋にツナを入れるっていうのすごい驚かれてた。,ツナって何？ツナって缶詰？,質問(YesNo),質問(What),驚き
８時でこの店閉まるんだよね。,８時まで？,質問(YesNo),質問(YesNo),驚き
あー、ミノムシって何だった？アオムシ？,何、ミノムシ？,質問(YesNo),質問(YesNo),驚き
あっ、なんかね、あとね、なんかＤＯＲＡって知ってる。ＤＯＲＡって何、ＤＯＲＡっていうアナウンス、永井美奈子と、ヤブタ何とかとか３人でやったんだって。その人たちの１人のヤブタ何とかっていう人がこの前離婚したんだけど、また再婚とかいって。,おんなじ人と？,質問(YesNo),質問(YesNo),驚き
違う人。,ふーん。知らん、ＤＯＲＡ？,質問(YesNo),あいづち,驚き
田代まさし、歯磨きのクリスタルっていうＣＭでさ、やってなかった？,クリスタル？,質問(YesNo),質問(YesNo),驚き
坊主も走るよみたいな。,坊主なの？,質問(YesNo),質問(YesNo),驚き
なんで坊主が。,師匠じゃないの。,質問(YesNo),質問(YesNo),驚き
今日、友達がさ、テストがあって、で、その間はなんか、私ちょっとインターネットで遊んでようと思って。,えっ、インターネットできるの、無料で。,質問(YesNo),質問(YesNo),驚き
すごい厚塗りの化粧をした、バンド知らない。,全然。ビジュアル系？,質問(YesNo),自己開示,驚き
ビジュアル系のバンド知らないかな。,男の人だよね。,質問(YesNo),質問(YesNo),驚き
ビジュアル系もすごいビジュアル系。,私、えっ、どういう意味。いけてないってこと、それは。,質問(YesNo),質問(What),驚き
私なんかすごい中学校のときに、ダイヤモンドユカイがすごいはやってたよ。,はやってた？,質問(YesNo),質問(YesNo),驚き
あるでしょう。うんで、私がさ、たぶんさ、そんなんさ。,悪い意味？,質問(YesNo),質問(YesNo),驚き
「スパイキッド」は息子と娘がお母さんとお父さんがなんか誘拐されるんでしょう。,誘拐されちゃって、うん。,質問(YesNo),自己開示,驚き
回って回って回ったなんてことないよね。,そうかもね。上書き保存？,質問(YesNo),応答(平叙),驚き
私がいつも食べてる柿って、西村早生っていう品種だっけ。,カキ？,質問(YesNo),質問(YesNo),驚き
私が食べてる柿は、西村早生っていう品種じゃなかったっけ。,食べたっけ、そんなカキ。,質問(YesNo),質問(YesNo),驚き
西村早生っていう品種の柿を食べたはず、食べたはず。,そうだった？,質問(YesNo),質問(YesNo),驚き
飛騨りんご見つけたって言ったら、買ってきてくれたらよかったのにって言われてさ。,言われちっゃた。,質問(YesNo),質問(YesNo),驚き
『バトル・ロワイヤル』ってね、あれは、もともとなんか文学賞の選考に残ってたんだけど、あまりにも内容が異常で、受賞できなかったっていう作品らしいのね。,あ、ユングの自伝ってそれをもとに作ってるの？,質問(YesNo),質問(YesNo),驚き
なんかね、それを読んでから、河合先生を見ると、もう、こんなんへーやんというところもあんねん。もう、こんなんって思う。,大丈夫って？,質問(YesNo),質問(YesNo),驚き
死後の世界について、そういう学会をやったときに、外国の研究者が、死後の世界をの話とかそういう深い深層の部分の話を、今の普通の言葉でしゃべってしまうと、おかしく聞こえるって。,確かにね、死の世界を知ってるっていうのは正しいことかもしれないんだよね。,質問(YesNo),質問(YesNo),驚き
河合先生が作家として一般に受け入れられるぐらいになったころの話か。,うんうん。,質問(YesNo),あいづち,驚き
一応有名な心理学者が書いた本でね、フロイトのここがおかしいとかいうのを、ほんまになんかね、一語一句に対して言ってるのよ。,書いてあるの？,質問(YesNo),質問(YesNo),驚き
